rule,idx,project,file,line,verdict,reason
INT34-C,11,sel4,src/arch/riscv/kernel/vspace.c,664,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,12,sel4,src/arch/riscv/kernel/vspace.c,781,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,13,sel4,src/arch/x86/32/kernel/vspace.c,715,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,14,sel4,src/arch/x86/32/kernel/vspace_32paging.c,68,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,15,sel4,src/arch/x86/32/kernel/vspace_32paging.c,70,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,16,sel4,src/arch/x86/32/kernel/vspace_32paging.c,85,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,17,sel4,src/arch/x86/32/kernel/vspace_32paging.c,86,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,18,sel4,src/arch/x86/32/kernel/vspace_32paging.c,87,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,19,sel4,src/arch/x86/32/kernel/vspace_32paging.c,109,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,20,sel4,src/arch/x86/32/kernel/vspace_32paging.c,136,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,21,sel4,src/arch/x86/32/kernel/vspace_32paging.c,138,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,22,sel4,src/arch/x86/32/kernel/vspace_32paging.c,192,FP,"FP: shift amount is the compile-time constant seL4_LargePageBits = 21 (22 on x86-32), far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,23,sel4,src/arch/x86/32/object/objecttype.c,86,FP,"FP: shift amount is the compile-time constant seL4_PageBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,24,sel4,src/arch/x86/64/kernel/vspace.c,161,FP,"FP: shift amount is the compile-time constant seL4_HugePageBits = 30, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
INT34-C,25,sel4,src/kernel/boot.c,863,FP,"FP: shift amount is the compile-time constant seL4_PageTableBits = 12, far below the 32/64-bit operand width, so the shift can never reach or exceed it. Flagged only because the macro is opaque without a compile database; --compile-commands resolves it and the finding disappears."
ARR30-C,26,sel4,src/arch/arm/machine/gic_v2.c,174,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,27,sel4,src/arch/arm/machine/gic_v3.c,62,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,28,sel4,src/arch/arm/machine/gic_v3.c,408,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,29,sel4,src/arch/arm/machine/gic_v3.c,409,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,30,sel4,src/arch/riscv/machine/hardware.c,86,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,31,sel4,src/arch/riscv/machine/hardware.c,211,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,32,sel4,src/arch/riscv/smp/ipi.c,38,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,33,sel4,src/arch/riscv/smp/ipi.c,50,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,34,sel4,src/arch/riscv/smp/ipi.c,51,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,35,sel4,src/arch/riscv/smp/ipi.c,56,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,36,sel4,src/arch/riscv/smp/ipi.c,67,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,37,sel4,src/arch/riscv/smp/ipi.c,68,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,38,sel4,src/arch/riscv/smp/ipi.c,70,FP,"FP: array is declared [CONFIG_MAX_NUM_NODES] and indexed by a CPU index that is bounded by construction (CURRENT_CPU_INDEX()/getCurrentCPUIndex(), or a core_id carrying assert(core_id < CONFIG_MAX_NUM_NODES)). Appears only under --compile-commands, which makes CONFIG_MAX_NUM_NODES resolvable; note the compile DB is the x86/pc99 config while this file is ARM/RISC-V, so the array size sqc folded is not this file's build config."
ARR30-C,39,sel4,src/object/domain.c,64,FP,"FP: caller decodeDomainScheduleConfigure range-checks the syscall-supplied index (index >= domScheduleLength - 1 returns seL4_RangeError) and domScheduleLength == CONFIG_NUM_DOMAIN_SCHEDULES, the array's own size. The invariant lives in the caller, not at this line."
