rule,idx,project,file,line,verdict,reason
MSC13-C,14,mosquitto,client/client_props.c,65,TP,"cmdname/propname=NULL are unconditionally overwritten by argv[*idx] on the very next statement with no intervening branch or read of the NULL init — genuinely dead"
MSC13-C,15,curl,lib/vtls/rustls.c,919,FP,"result=CURLE_OK in init_config_builder_ech is read via `return result;` at the end of the function"
MSC13-C,16,curl,lib/vssh/libssh2.c,308,FP,"rc=0 in ssh_knownhost is read repeatedly later, including `switch(rc)` and comparisons against CURLKHSTAT_* values"
MSC13-C,17,hostap,src/common/sae.c,1568,FP,"hash_len assigned in the h2e/dh branch is read many times afterward (pmk_len=hash_len, hkdf_extract, memcpy, etc.)"
MSC13-C,18,hostap,src/ap/hw_features.c,1183,FP,"target_mode assigned in the freq>50000 branch is read in the following for-loop's `if (mode->mode == target_mode)`"
MSC13-C,19,curl,lib/openldap.c,443,FP,"ret=0 in ldapsb_tls_read is read via `return ret;` when data or conn is NULL and the reassignment branch is skipped"
MSC13-C,20,sqlite,ext/misc/zipfile.c,2076,FP,"rc=SQLITE_ERROR; goto zipfile_step_out; the label reads rc via `if( rc )` and `sqlite3_result_error_code(pCtx, rc)`"
MSC13-C,21,hostap,src/utils/trace.c,130,FP,"symcount assigned by bfd_canonicalize_dynamic_symtab is read immediately at `if (symcount < 0)`"
MSC13-C,22,curl,tests/server/socksd.c,516,FP,"rep=1 in the connfd==CURL_SOCKET_BAD branch is read unconditionally afterward at `response[SOCKS5_REP] = rep;`"
MSC13-C,23,sqlite,src/vdbe.c,5778,FP,"zDb is read at `sqlite3VdbePreUpdateHook(p,pC,SQLITE_INSERT,zDb,...)` but only inside a `#ifdef SQLITE_ENABLE_PREUPDATE_HOOK` block — sqc's preprocessor model treats that branch as inactive (documented ifdef blind spot)"
MSC13-C,24,curl,src/tool_getparam.c,1796,FP,"err assigned via opt_sslver() in the TLSv1.1 case is read at `return err;` at the end of getparameter"
MSC13-C,25,hostap,src/crypto/crypto_openssl.c,4365,TP,"pkey=NULL is unconditionally overwritten by X509_REQ_get_pubkey() right after; the intervening early return (!csr) never touches pkey, so the NULL init is never read on any path"
MSC13-C,26,hostap,src/eap_server/eap_server_fast.c,1048,FP,"next_vendor=EAP_VENDOR_IETF is read on the very next line passed to eap_fast_phase2_init(sm,data,next_vendor,next_type)"
MSC13-C,27,curl,tests/libtest/lib1510.c,30,FP,"result=CURLE_OK is read via `return result;` at test_cleanup, including the early-goto path before any reassignment"
MSC13-C,28,sqlite,src/vdbesort.c,2421,FP,"rc=SQLITE_NOMEM_BKPT is read immediately afterward at `if( rc==SQLITE_OK )`"
MSC13-C,29,curl,tests/libtest/cli_ws_data.c,287,FP,"multi=NULL is read at `if(multi) curl_multi_cleanup(multi);` in the out: cleanup path when an early alloc-failure goto skips the curl_multi_init() reassignment"
MSC13-C,30,curl,lib/ftp.c,1684,FP,"result=CURLE_OK is read at `if(!result)` right after the MDTM-sendf assignment and via `return result;`"
MSC13-C,31,sqlite,ext/misc/spellfix.c,2056,FP,"rc=SQLITE_OK in spellfix1Init follows the standard sqlite rc-accumulator pattern and is read via `return rc;` at function end"
MSC13-C,32,mosquitto,plugins/dynamic-security/roles.c,752,FP,"acllist=&role->acls.subscribe_literal is read via `HASH_FIND(hh, *acllist, ...)` shortly after"
MSC13-C,33,mosquitto,apps/mosquitto_ctrl/dynsec_client.c,135,FP,"username/clientid=NULL: clientid's NULL is genuinely read via `(clientid && cJSON_AddStringToObject(...))` on the argc==1 path; username's NULL is only dead on the immediate-error-return path, an idiomatic defensive init a reviewer would not flag"
MSC13-C,34,sqlite,ext/recover/dbdata.c,845,FP,"rc=SQLITE_OK in dbdataFilter is read immediately at `if( rc==SQLITE_OK )` after the idxNum&0x02 branch that skips reassignment"
MSC13-C,35,hostap,wpa_supplicant/p2p_supplicant.c,1456,FP,"ik assigned in for-loop init clause is read immediately in the same statement's condition `ik;`"
MSC13-C,36,sqlite,src/wherecode.c,1487,FP,"pIdx=0 is read at `iLoop = (pIdx ? 1 : 2);` later in the function when the branch that assigns it (offset ~424) is not reached"
MSC13-C,37,hostap,src/tls/libtommath.c,1756,FP,"res assigned via `(res = mp_sub(&x,&y,&x))` is read in the very same if-condition compared against MP_OKAY"
MSC13-C,38,sqlite,ext/misc/zipfile.c,704,FP,"ret=0 in zipfileScanExtra is read via `return ret;` when no ZIPFILE_EXTRA_TIMESTAMP record is found and ret is never set to 1"
MSC13-C,39,hostap,src/wps/wps_upnp_ssdp.c,520,FP,"got_st/st_match=0 are both read in the combined `if (!got_host || !got_st || !got_man || !got_mx || mx < 0)` and `if (!st_match)` checks after the parse loop"
MSC13-C,40,sqlite,src/main.c,1553,FP,"zName assigned in the SQLITE_NOMEM case is read by the enclosing for-loop's condition `zName==0` on the next iteration check"
MSC13-C,41,curl,lib/vtls/wolfssl.c,1350,FP,"result=CURLE_SSL_CONNECT_ERROR; goto out; the out: label returns result, a genuine read"
MSC13-C,42,curl,tests/http/testenv/mod_curltest/mod_curltest.c,731,FP,"request_id=NULL is read at `if(request_id) apr_table_setn(...)` when no id= query arg is supplied"
MSC13-C,43,curl,lib/telnet.c,1448,FP,"interval_ms=100 is read unconditionally afterward at `Curl_poll(pfd, poll_cnt, interval_ms)`"
MSC13-C,44,hostap,src/ap/ieee802_11.c,1909,FP,"resp=WLAN_STATUS_UNSPECIFIED_FAILURE; goto reply; the reply: label reads resp in `if (!sta_removed && resp != WLAN_STATUS_SUCCESS)` and send_auth_reply(...)"
MSC13-C,45,hostap,hostapd/main.c,130,FP,"priority=LOG_INFO (default case) is read immediately afterward at `syslog(priority, \"%s\", format);`"
MSC13-C,46,hostap,hostapd/hlr_auc_gw.c,392,FP,"m=NULL in read_milenage is read via `os_free(m);` after the parse loop, regardless of whether the loop ever reassigned it"
MSC13-C,47,hostap,src/eap_peer/eap_sim.c,570,TP,"config=NULL: every read of config is gated by use_imsi_identity, which is only ever set true after config was already reassigned non-NULL — the initial NULL is provably never read on any path"
MSC13-C,48,curl,lib/vtls/schannel.c,368,TP,"result=CURLE_OK in get_client_cert: the function's final return is a literal `return CURLE_OK;` (not `return result;`), and on every path result is either reassigned before any read or never read at all"
MSC13-C,49,mosquitto,src/logging.c,264,FP,"topic assigned in the MOSQ_LOG_UNSUBSCRIBE case is read later at `db__messages_easy_queue(NULL, topic, ...)`"
