project,file,line,rule,verdict,reason,provenance,confidence
lua,lauxlib.c,537,PRE12-C,FP,B is a plain variable at all call sites; no multiple-evaluation hazard,precision_audit,high
lua,lauxlib.c,546,DCL13-C,FP,Advisory; parameter B is an internal luaL_Buffer used via member access,precision_audit,high
lua,lauxlib.c,552,INT14-C,FP,Intentional buffer growth arithmetic: newsize >>= shift for 1.5x growth,precision_audit,high
lua,lauxlib.c,581,ARR38-C,FP,memcpy size B->n*sizeof(char)==B->n; overflow guard at line 548,precision_audit,high
lua,lauxlib.c,581,INT32-C,FP,sizeof(char)==1; B->n*1 cannot overflow beyond size_t type,precision_audit,high
lua,lauxlib.c,592,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,597,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,597,DCL19-C,FP,luaL_addlstring is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,597,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,600,ARR38-C,FP,memcpy size l is the string length; prepbuffsize ensures buffer is large enough,precision_audit,high
lua,lauxlib.c,600,EXP05-C,FP,b from prepbuffsize is a non-const char*; the const-cast in the parameter declaration is advisory,precision_audit,high
lua,lauxlib.c,600,EXP34-C,FP,prepbuffsize never returns NULL; it longjmps on allocation failure,precision_audit,high
lua,lauxlib.c,606,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,606,API00-C,FP,s is required non-NULL C-string parameter; caller contract,precision_audit,high
lua,lauxlib.c,606,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,606,DCL19-C,FP,luaL_addstring is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,611,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,611,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,611,DCL19-C,FP,luaL_pushresult is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,623,EXP34-C,FP,box from lua_touserdata on stack top in buffonstack branch; checkbufferlevel asserts non-NULL,precision_audit,high
lua,lauxlib.c,627,EXP33-C,FP,ud initialized by lua_getallocf output-pointer parameter before use,precision_audit,high
lua,lauxlib.c,635,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,635,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,650,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,650,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,650,DCL19-C,FP,luaL_addvalue is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,654,EXP33-C,FP,len initialized by lua_tolstring output-pointer parameter before memcpy,precision_audit,high
lua,lauxlib.c,655,ARR38-C,FP,memcpy size len is the string length; prepbuffsize ensures buffer large enough,precision_audit,high
lua,lauxlib.c,655,EXP05-C,FP,b from prepbuffsize is non-const char*; advisory const-cast finding,precision_audit,high
lua,lauxlib.c,655,EXP34-C,FP,prepbuffsize never returns NULL; longjmps on alloc failure,precision_audit,high
lua,lauxlib.c,655,EXP34-C,FP,s from lua_tolstring is non-NULL; guaranteed by lua_isstring guard in addvalue,precision_audit,high
lua,lauxlib.c,661,API00-C,FP,L is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,661,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,661,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,661,DCL19-C,FP,luaL_buffinit is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,670,API00-C,FP,L is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,670,API00-C,FP,B is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,689,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,710,DCL31-C,FP,lua_rawlen declared in lua.h; sqc missed the include,precision_audit,high
lua,lauxlib.c,716,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,743,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,755,ARR38-C,FP,"fread(buff,1,sizeof(buff),f) is correct: element size 1, count sizeof(buff)",precision_audit,high
lua,lauxlib.c,755,FIO17-C,FP,fread result used as byte count returned to lua_load; no null-terminator needed,precision_audit,high
lua,lauxlib.c,765,CON33-C,FP,Lua is single-threaded at C level; strerror safe in this context,precision_audit,high
lua,lauxlib.c,765,CON34-C,FP,Lua is single-threaded at C level; strerror safe in this context,precision_audit,high
lua,lauxlib.c,779,MSC37-C,FP,skipBOM always returns int from getc; sqc false alarm on fall-off-end,precision_audit,high
lua,lauxlib.c,780,DCL00-C,FP,Advisory const on local variable; not a defect,precision_audit,high
lua,lauxlib.c,796,DCL00-C,FP,Advisory const on local variable; not a defect,precision_audit,high
lua,lauxlib.c,798,FIO34-C,FP,c != EOF with getc returning int is standard C EOF detection idiom,precision_audit,high
lua,lauxlib.c,808,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,808,API00-C,FP,"mode is optional parameter (NULL allowed, checked in body)",precision_audit,high
lua,lauxlib.c,808,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,814,MEM10-C,FP,Direct NULL check for filename is the standard Lua API idiom; no abstraction needed,precision_audit,high
lua,lauxlib.c,821,FIO05-C,FP,Lua is not a setuid program; fstat ownership check is inappropriate here,precision_audit,high
lua,lauxlib.c,821,WIN03-C,FP,Lua is cross-platform; N flag is Windows-only extension not in portable C,precision_audit,high
lua,lauxlib.c,827,EXP33-C,FP,c is written by skipcomment via output pointer at line 825 before use at 827,precision_audit,high
lua,lauxlib.c,831,ERR33-C,FP,freopen return checked immediately: if (lf.f == NULL) return errfile(...),precision_audit,high
lua,lauxlib.c,832,MEM12-C,FP,lf.f is the same FILE* passed to freopen; on NULL return lf.f is already invalid; fclose at 841 only called when filename non-NULL,precision_audit,high
lua,lauxlib.c,841,ERR00-C,FP,fclose return not checked; read errors captured via ferror at 839,precision_audit,high
lua,lauxlib.c,841,ERR33-C,FP,fclose return not checked; read errors captured via ferror at 839,precision_audit,high
lua,lauxlib.c,857,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,867,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,867,API00-C,FP,buff is required parameter; caller contract,precision_audit,high
lua,lauxlib.c,867,API00-C,FP,"mode is optional parameter (NULL allowed, passed to lua_load)",precision_audit,high
lua,lauxlib.c,867,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,867,DCL19-C,FP,luaL_loadbufferx is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,867,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,868,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,868,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,876,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,876,API00-C,FP,s is required non-NULL C-string; caller contract,precision_audit,high
lua,lauxlib.c,876,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,884,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,884,DCL19-C,FP,luaL_getmetafield is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,900,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,900,DCL19-C,FP,luaL_callmeta is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,910,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,922,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,965,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,965,API00-C,FP,l is required luaL_Reg array pointer; caller contract,precision_audit,high
lua,lauxlib.c,965,API00-C,FP,nup is validated by luaL_checkstack immediately in function body,precision_audit,high
lua,lauxlib.c,965,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,965,DCL19-C,FP,luaL_setfuncs is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,986,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,986,DCL19-C,FP,luaL_getsubtable is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,1006,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,1006,API00-C,FP,modname is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,1006,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,1026,API00-C,FP,b is required luaL_Buffer pointer; caller contract,precision_audit,high
lua,lauxlib.c,1026,API00-C,FP,s is required non-NULL string; caller contract,precision_audit,high
lua,lauxlib.c,1026,API00-C,FP,p is required non-NULL pattern; caller contract,precision_audit,high
lua,lauxlib.c,1026,API00-C,FP,r is required non-NULL replacement; caller contract,precision_audit,high
lua,lauxlib.c,1026,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,lauxlib.c,1026,DCL19-C,FP,luaL_addgsub is public API exported via lauxlib.h,precision_audit,high
lua,lauxlib.c,1029,STR34-C,FP,p is const char* used in strstr pattern; no sign-extension in string comparison,precision_audit,high
lua,lauxlib.c,1039,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,1039,API00-C,FP,s is required non-NULL string; caller contract,precision_audit,high
lua,lauxlib.c,1039,API00-C,FP,p is required non-NULL pattern; caller contract,precision_audit,high
lua,lauxlib.c,1039,API00-C,FP,r is required non-NULL replacement; caller contract,precision_audit,high
lua,lauxlib.c,1049,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,1049,API05-C,FP,"Lua uses portable C99, not conformant array parameters; categorical FP",precision_audit,high
lua,lauxlib.c,1052,MEM03-C,FP,luaL_alloc is a generic allocator; data is not sensitive; memset before free not needed,precision_audit,high
lua,lauxlib.c,1056,STR01-C,FP,Spurious mixed-string-management advisory; no real defect,precision_audit,high
lua,lauxlib.c,1056,MEM06-C,FP,Lua general allocator memory is not sensitive data; mlock inappropriate,precision_audit,high
lua,lauxlib.c,1094,EXP43-C,FP,"lua_setwarnf(L, f, L) stores L and ud separately; no restrict aliasing",precision_audit,high
lua,lauxlib.c,1096,EXP43-C,FP,"lua_setwarnf(L, f, L) stores L and ud separately; no restrict aliasing",precision_audit,high
lua,lauxlib.c,1115,EXP43-C,FP,"lua_setwarnf(L, f, L) stores L and ud separately; no restrict aliasing",precision_audit,high
lua,lauxlib.c,1118,EXP43-C,FP,"lua_setwarnf(L, f, L) stores L and ud separately; no restrict aliasing",precision_audit,high
lua,lauxlib.c,1152,PRE00-C,FP,addbuff macro arguments are plain variables; no side-effecting args,precision_audit,high
lua,lauxlib.c,1152,PRE01-C,FP,b is a plain pointer variable at call sites; no precedence hazard,precision_audit,high
lua,lauxlib.c,1152,PRE12-C,FP,b is a plain variable at call sites; no multiple-evaluation hazard,precision_audit,high
lua,lauxlib.c,1159,ERR33-C,FP,time(NULL) for randomness seed; failure acceptable (degraded entropy only),precision_audit,high
lua,lauxlib.c,1160,EXP33-C,FP,buff is unsigned int array declared at 1156; addbuff writes to it before loop reads it,precision_audit,high
lua,lauxlib.c,1161,EXP43-C,FP,"addbuff(b,b) copies address of b via memcpy; no restrict aliasing in underlying call",precision_audit,high
lua,lauxlib.c,1164,INT32-C,FP,sizeof(buff) >= BUFSEEDB by construction of BUFSEED macro; no underflow,precision_audit,high
lua,lauxlib.c,1164,EXP05-C,FP,b pointer is char* (non-const); cast is to same type; no const violation,precision_audit,high
lua,lauxlib.c,1167,INT14-C,FP,Intentional seed mixing with bitwise ops on unsigned int; no readability defect,precision_audit,high
lua,lauxlib.c,1167,FIO50-C,FP,res is unsigned int not a FILE stream; sqc misidentified variable type,precision_audit,high
lua,lauxlib.c,1167,FIO50-C,FP,res is unsigned int not a FILE stream; sqc misidentified variable type,precision_audit,high
lua,lauxlib.c,1167,ARR00-C,FP,buff[] filled by addbuff calls before loop reads it; not truly uninitialized,precision_audit,high
lua,lauxlib.c,1187,DCL31-C,FP,lua_atpanic declared in lua.h; sqc missed the include,precision_audit,high
lua,lauxlib.c,1188,EXP43-C,FP,"lua_setwarnf(L, warnfon, L) stores L and ud separately; no restrict aliasing",precision_audit,high
lua,lauxlib.c,1190,DCL30-C,FP,L from lua_newstate is heap-allocated; not a C automatic-storage local,precision_audit,high
lua,lauxlib.c,1194,API00-C,FP,L is required LUALIB_API parameter; caller contract,precision_audit,high
lua,lauxlib.c,1194,DCL15-C,FP,LUALIB_API public symbol declared in lauxlib.h,precision_audit,high
lua,ldo.c,81,DCL13-C,FP,Function pointer signature must match; const cannot be added to lua_State*,precision_audit,high
lua,ldo.c,81,DCL13-C,FP,Function pointer signature must match; const advisory on callback param,precision_audit,high
lua,ldo.c,81,DCL13-C,FP,Function pointer signature must match; const advisory on callback param,precision_audit,high
lua,ldo.c,99,PRE02-C,FP,LUAI_TRY is a statement macro; outer parenthesization would be syntactically wrong,precision_audit,high
lua,ldo.c,105,PRE02-C,FP,LUAI_TRY is a statement macro; outer parenthesization would be syntactically wrong,precision_audit,high
lua,ldo.c,112,API00-C,FP,L is required internal parameter; caller (luaD_throw) contract,precision_audit,high
lua,ldo.c,125,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,125,MEM05-C,FP,luaD_throw recursion is depth-1 (re-throw to main thread); not unbounded,precision_audit,high
lua,ldo.c,125,MSC04-C,FP,luaD_throw direct recursion is bounded depth-1; not a real cycle risk,precision_audit,high
lua,ldo.c,125,MSC37-C,FP,luaD_throw is l_noret; all paths call longjmp/abort; no actual fall-off,precision_audit,high
lua,ldo.c,131,DCL00-C,FP,Advisory const on local variable g; not a defect,precision_audit,high
lua,ldo.c,144,ERR05-C,FP,abort() is documented last-resort for unprotected Lua panic; correct behavior,precision_audit,high
lua,ldo.c,150,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,150,MSC37-C,FP,luaD_throwbaselevel is l_noret; ends in luaD_throw which never returns,precision_audit,high
lua,ldo.c,160,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,160,API00-C,FP,ud is required function parameter; caller contract,precision_audit,high
lua,ldo.c,215,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,215,MSC37-C,FP,luaD_errerr is l_noret; ends in luaD_throw which never returns,precision_audit,high
lua,ldo.c,228,MSC04-C,FP,Indirect recursion cycle through GC/error/stack is bounded by LUAI_MAXCCALLS,precision_audit,high
lua,ldo.c,228,MSC37-C,FP,luaD_checkminstack always returns int on both branches; no real fall-off,precision_audit,high
lua,ldo.c,330,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,330,API00-C,FP,newsize is checked by lua_assert; integer overflow not a real issue here,precision_audit,high
lua,ldo.c,341,MEM30-C,FP,STRICT_ADDRESS path converts pointers to offsets before realloc; oldstack not dereferenced after free,precision_audit,high
lua,ldo.c,343,MEM30-C,FP,L is the lua_State not the reallocated stack; L is never freed here,precision_audit,high
lua,ldo.c,343,MEM30-C,FP,"correctstack called with oldstack for offset arithmetic, not dereference",precision_audit,high
lua,ldo.c,345,MEM30-C,FP,L is the lua_State not the reallocated stack; never freed here,precision_audit,high
lua,ldo.c,349,MEM30-C,FP,correctstack called with oldstack for pointer-difference arithmetic only,precision_audit,high
lua,ldo.c,361,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,361,MSC04-C,FP,Indirect recursion through error/GC bounded by LUAI_MAXCCALLS,precision_audit,high
lua,ldo.c,373,INT14-C,FP,Intentional bitshift for stack growth arithmetic (1.5x); standard Lua idiom,precision_audit,high
lua,ldo.c,373,INT13-C,FP,size is positive int; right-shift of positive signed int is well-defined on all Lua targets,precision_audit,high
lua,ldo.c,386,MEM30-C,FP,"luaD_reallocstack does not free L; L is the lua_State pointer, not the stack",precision_audit,high
lua,ldo.c,395,DCL13-C,FP,Advisory const; function signature matches internal usage pattern,precision_audit,high
lua,ldo.c,419,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,430,MEM30-C,FP,"luaD_reallocstack does not free L; L is lua_State pointer, not the stack",precision_audit,high
lua,ldo.c,441,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,478,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,478,API00-C,FP,ci is required non-NULL call info pointer; caller contract,precision_audit,high
lua,ldo.c,497,INT14-C,FP,Intentional bit manipulation on callstatus flags; standard Lua VM idiom,precision_audit,high
lua,ldo.c,503,INT14-C,FP,Intentional pointer arithmetic on StkId; not bitwise/arithmetic confusion,precision_audit,high
lua,ldo.c,511,EXP30-C,FP,ci = ci->previous in if-condition is intentional iteration idiom; well-sequenced,precision_audit,high
lua,ldo.c,511,EXP45-C,FP,Assignment-in-if is intentional iteration; != NULL comparison follows,precision_audit,high
lua,ldo.c,525,MSC04-C,FP,Indirect recursion through VM call cycle bounded by LUAI_MAXCCALLS,precision_audit,high
lua,ldo.c,535,INT14-C,FP,Intentional bitwise operations on callstatus field; Lua VM idiom,precision_audit,high
lua,ldo.c,537,INT14-C,FP,CIST_CCMT is a bit-field constant; bitwise ops intentional,precision_audit,high
lua,ldo.c,542,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,542,API00-C,FP,wanted is a count parameter; no overflow concern in stack context,precision_audit,high
lua,ldo.c,542,DCL15-C,FP,l_sinline function used internally; DCL15 advisory FP,precision_audit,high
lua,ldo.c,542,DCL19-C,FP,genmoveresults is internal helper; DCL19 advisory FP,precision_audit,high
lua,ldo.c,563,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,563,DCL15-C,FP,l_sinline function used internally; DCL15 advisory FP,precision_audit,high
lua,ldo.c,563,DCL19-C,FP,moveresults is internal helper; DCL19 advisory FP,precision_audit,high
lua,ldo.c,563,MSC04-C,FP,Indirect recursion through luaF_close/callclose bounded by LUAI_MAXCCALLS,precision_audit,high
lua,ldo.c,607,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,607,API00-C,FP,ci is required non-NULL call info; caller contract,precision_audit,high
lua,ldo.c,607,MSC04-C,FP,Indirect recursion bounded by LUAI_MAXCCALLS,precision_audit,high
lua,ldo.c,621,PRE00-C,FP,next_ci(L) used with plain variable L; no side-effecting argument,precision_audit,high
lua,ldo.c,621,PRE01-C,FP,L is a plain variable at call sites; no precedence hazard,precision_audit,high
lua,ldo.c,621,PRE12-C,FP,L is a plain variable at call sites; no multiple-evaluation hazard,precision_audit,high
lua,ldo.c,630,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,630,DCL15-C,FP,l_sinline function used internally; DCL15 advisory FP,precision_audit,high
lua,ldo.c,637,DCL30-C,FP,ci points into L->ci chain (heap-allocated CallInfo list); not a C local,precision_audit,high
lua,ldo.c,644,API00-C,FP,L is required internal parameter; caller contract,precision_audit,high
lua,ldo.c,644,DCL15-C,FP,l_sinline function used internally; DCL15 advisory FP,precision_audit,high
lua,ldo.c,644,DCL19-C,FP,precallC is internal helper; DCL19 advisory FP,precision_audit,high
