project,commit,file,line,rule,verdict,reason
hostap,dcee60436,src/p2p/p2p.c,1292,MSC17-C,FP,"case P2P_FIND_START_WITH_FULL falls to P2P_FIND_PROGRESSIVE but has ""/* fall through */"" comment at line 1306"
hostap,dcee60436,src/pasn/pasn_responder.c,400,MSC17-C,FP,"case WPA_KEY_MGMT_SAE_EXT_KEY falls to default but has ""/* fall through */"" comment at line 407 (after an #endif)"
hostap,dcee60436,src/radius/radius_client.c,1283,MSC17-C,FP,"case RADIUS_RX_PROCESSED falls to RADIUS_RX_QUEUED but has ""/* fall through */"" comment at line 1285"
hostap,dcee60436,src/radius/radius_client.c,1302,MSC17-C,FP,"case RADIUS_RX_INVALID_AUTHENTICATOR falls to RADIUS_RX_UNKNOWN but has ""/* fall through */"" comment at line 1304"
hostap,dcee60436,src/utils/common.c,1164,MSC17-C,FP,"case '\\' falls to default but has ""/* fall through */"" comment at line 1169"
hostap,dcee60436,src/utils/common.c,1205,MSC17-C,FP,"grouped case '\'' falls to default but has ""/* fall through */"" comment at line 1209"
hostap,dcee60436,wpa_supplicant/ctrl_iface_named_pipe.c,195,MSC17-C,FP,"case ERROR_PIPE_CONNECTED falls to default but has ""/* fall through */"" comment at line 200"
hostap,dcee60436,wpa_supplicant/ctrl_iface_named_pipe.c,629,MSC17-C,FP,"case ERROR_PIPE_CONNECTED falls to default but has ""/* fall through */"" comment at line 634 (duplicate function in same file)"
hostap,dcee60436,wpa_supplicant/mesh_mpm.c,502,MSC17-C,FP,"case PLINK_OPN_SNT falls to PLINK_CNF_RCVD but has ""/* fall through */"" comment at line 514"
hostap,dcee60436,wpa_supplicant/mesh_mpm.c,998,MSC17-C,FP,"grouped case CNF_RJCT (inner switch) falls to CLS_ACPT but has ""/* fall-through */"" comment at line 1001"
hostap,dcee60436,wpa_supplicant/mesh_mpm.c,1034,MSC17-C,FP,"grouped case CNF_RJCT (inner switch) falls to CLS_ACPT but has ""/* fall-through */"" comment at line 1037"
hostap,dcee60436,wpa_supplicant/mesh_mpm.c,1066,MSC17-C,FP,"grouped case CNF_RJCT (inner switch) falls to CLS_ACPT but has ""/* fall-through */"" comment at line 1069"
hostap,dcee60436,wpa_supplicant/p2p_supplicant.c,804,MSC17-C,FP,"grouped case falls to P2PS_SETUP_NONE but has ""/* fall through */"" comment at line 813"
hostap,dcee60436,wpa_supplicant/p2p_supplicant.c,830,MSC17-C,FP,"case P2PS_SETUP_CLIENT falls to default but has ""/* fall through */"" comment at line 836"
hostap,dcee60436,wpa_supplicant/p2p_supplicant.c,8960,MSC17-C,FP,"case P2P_PREQ_NOT_P2P falls to P2P_PREQ_MALFORMED but has ""/* fall through */"" comment at line 8963"
lua,40b76de2,lapi.c,1453,MSC17-C,FP,"case LUA_VCCL falls to /* FALLTHROUGH */ comment before case LUA_VLCF, sqc missed the all-caps comment"
lua,40b76de2,lcode.c,825,MSC17-C,FP,"case VVARGVAR has /* FALLTHROUGH */ comment before case VLOCAL, missed by sqc"
lua,40b76de2,lcode.c,897,MSC17-C,FP,"case VKSTR has /* FALLTHROUGH */ comment before case VK, missed by sqc"
lua,40b76de2,lcode.c,1129,MSC17-C,FP,"case VVARGIND has /* FALLTHROUGH */ comment before case VINDEXED, missed by sqc"
lua,40b76de2,lcode.c,1702,MSC17-C,FP,"case OPR_MINUS/OPR_BNOT has /* FALLTHROUGH */ comment before case OPR_LEN, missed by sqc"
lua,40b76de2,lcode.c,1815,MSC17-C,FP,"case OPR_SUB has /* FALLTHROUGH */ comment before OPR_ADD/MUL block continues, missed by sqc"
lua,40b76de2,lcode.c,1851,MSC17-C,FP,"case OPR_GT/OPR_GE has /* FALLTHROUGH */ comment before case OPR_LT/OPR_LE, missed by sqc"
lua,40b76de2,lcode.c,1939,MSC17-C,FP,"case OP_RETURN0/OP_RETURN1 has /* FALLTHROUGH */ comment before case OP_RETURN/OP_TAILCALL, missed by sqc"
lua,40b76de2,lcorolib.c,194,MSC17-C,FP,"case COS_RUN ends with comment + /* FALLTHROUGH */ before default, missed by sqc"
lua,40b76de2,lfunc.c,150,MSC17-C,FP,"case LUA_OK has /* FALLTHROUGH */ comment before case CLOSEKTOP, missed by sqc"
lua,40b76de2,lgc.c,356,MSC17-C,FP,"case LUA_VUSERDATA has /* FALLTHROUGH */ comment before grouped case block, missed by sqc"
lua,40b76de2,lobject.c,519,MSC17-C,FP,"case 2 has /* FALLTHROUGH */ comment before default, missed by sqc"
lua,40b76de2,lparser.c,306,MSC17-C,FP,"case VVARGIND has /* FALLTHROUGH */ comment before case VINDEXUP group, missed by sqc"
lua,40b76de2,lparser.c,2127,MSC17-C,FP,"case TK_NAME (under #if) has /* FALLTHROUGH */ comment after #endif before default, missed by sqc"
lua,40b76de2,lstrlib.c,652,MSC17-C,FP,"case '+' has /* FALLTHROUGH */ comment before case '*', missed by sqc"
lua,40b76de2,lstrlib.c,1332,MSC17-C,FP,"case 'f' has /* FALLTHROUGH */ comment before case 'e'/'E'/'g'/'G', missed by sqc"
lua,40b76de2,lstrlib.c,1712,MSC17-C,FP,"case Kpadding has trailing /* FALLTHROUGH */ comment before case Kpaddalign/Knop, missed by sqc"
lua,40b76de2,ltable.c,1030,MSC17-C,FP,"case LUA_VNUMFLT has /* FALLTHROUGH */ comment before default, missed by sqc"
lua,40b76de2,ltable.c,1136,MSC17-C,FP,"case LUA_VNUMFLT has /* FALLTHROUGH */ comment before default, missed by sqc"
lua,40b76de2,ltm.c,155,MSC17-C,FP,"grouped case block has /* FALLTHROUGH */ comment before default, missed by sqc"
lua,40b76de2,lua.c,326,MSC17-C,FP,"case 'i' has trailing /* FALLTHROUGH */ comment before case 'v', missed by sqc"
lua,40b76de2,lua.c,333,MSC17-C,FP,"case 'e' has trailing /* FALLTHROUGH */ comment before case 'l', missed by sqc"
curl,3e198f7586,lib/cf-socket.c,842,MSC17-C,FP,"case SOCKEWOULDBLOCK is an empty grouped case label (falls to #ifdef EAGAIN/case EAGAIN with no statements), CERT allows empty grouped case labels"
raylib,962bbfc,src/rlgl.h,1799,MSC17-C,TP,case RL_TEXTURE_MIPMAP_BIAS_RATIO executes glTexParameterf then falls through #endif into default: break with no break/comment
raylib,962bbfc,src/rlgl.h,1841,MSC17-C,TP,"same pattern as rlgl.h:1799 in the cubemap variant, executes call then falls through into default: break with no break/comment"
pureftpd,cc28bff,src/bsd-glob.c,331,MSC17-C,FP,case RBRACE has an explicit /* FALLTHROUGH */ comment right before case COMMA that sqc missed
pureftpd,cc28bff,src/fakesnprintf.c,210,MSC17-C,TP,case 'X' sets basics[] then falls to case 'x' with no break/comment
pureftpd,cc28bff,src/ftp_parser.c,259,MSC17-C,TP,"case -1 calls die() (not annotated noreturn, no break/return/comment) and falls to case -2"
pureftpd,cc28bff,src/ftp_parser.c,389,MSC17-C,TP,case 'C': when arg[1]!=0 the if body is skipped so it truly falls to case 'S'/'E' with no break/comment
pureftpd,cc28bff,src/ftp_parser.c,396,MSC17-C,TP,"case 'E' (grouped with 'S') falls to case 'P' when arg[1]!=0, no break/comment"
pureftpd,cc28bff,src/ftp_parser.c,402,MSC17-C,TP,"case 'P' falls to default when arg[1]!=0, no break/comment"
pureftpd,cc28bff,src/ftpd.c,6189,MSC17-C,TP,"case 'h' block ends with exit(EXIT_SUCCESS) (not a break/return/continue/goto) and falls to default, no comment"
pureftpd,cc28bff,src/log_pgsql.c,228,MSC17-C,TP,"case '\' writes an extra backslash then falls into default with no break/comment"""
pureftpd,cc28bff,src/pure-authd.c,141,MSC17-C,TP,"case 'h' calls usage() (exits via exit(), not recognized as terminal) and falls to case 'r' with no comment"
pureftpd,cc28bff,src/pure-certd.c,141,MSC17-C,TP,"case 'h' calls usage() and falls to case 'r' with no comment, same pattern as pure-authd"
pureftpd,cc28bff,src/pure-ftpwho.c,776,MSC17-C,FP,"case 'h' has a /* doesn't return */ comment documenting the intentional missing break, sqc doesn't recognize this non-standard marker wording"
pureftpd,cc28bff,src/pure-ftpwho.c,784,MSC17-C,TP,case 'c' does html_cgi++ then falls to case 'W' with no break/comment
pureftpd,cc28bff,src/pure-ftpwho.c,786,MSC17-C,TP,case 'W' does html_raw++ then falls to case 'w' with no break/comment
pureftpd,cc28bff,src/pure-pw.c,1382,MSC17-C,FP,case 'D' has an explicit /* FALLTHROUGH */ comment before case 'd' that sqc missed
pureftpd,cc28bff,src/pure-pw.c,1439,MSC17-C,FP,"case 'h' has a /* doesn't return */ comment documenting the intentional missing break, same idiom as pure-ftpwho/pure-quotacheck"
pureftpd,cc28bff,src/pure-quotacheck.c,303,MSC17-C,FP,case 'h' has a /* doesn't return */ comment documenting the intentional missing break
pureftpd,cc28bff,src/pure-uploadscript.c,258,MSC17-C,TP,case 'h' calls usage() with no comment (unlike the /* doesn't return */ idiom used elsewhere) and falls to case 'r'
pureftpd,cc28bff,src/simpleconf.c,617,MSC17-C,TP,"case ENTRYRESULT_INVALID_ENTRY calls abort() (not recognized as terminal) and falls to case ENTRYRESULT_INTERNAL, no comment"
pureftpd,cc28bff,src/simpleconf.c,657,MSC17-C,TP,case ENTRYRESULT_SPECIAL's final unconditional abort() after the if/else-if chain falls to default with no break/comment
pureftpd,cc28bff,src/tls.c,575,MSC17-C,TP,"case 0 only goto's when max_shutdowns>0; otherwise it truly falls to case 1, no comment"
sel4,1326364,src/arch/arm/32/machine/capdl.c,101,MSC17-C,TP,case 0b11 prints RW then falls to default with no break/comment
sel4,1326364,src/arch/arm/64/machine/capdl.c,84,MSC17-C,TP,case 0b01 (non-hypervisor branch) prints RW then falls to case 0b10 with no break/comment
sel4,1326364,src/arch/arm/64/machine/capdl.c,88,MSC17-C,TP,case 0b11 (non-hypervisor branch) prints R then falls to default with no break/comment
sel4,1326364,src/fastpath/fastpath.c,603,MSC17-C,TP,"case NtfnState_Active ends with UNREACHABLE() (a macro, not break/return/continue/goto) and falls to case NtfnState_Idle, no comment"
sel4,1326364,src/machine/capdl.c,488,MSC17-C,TP,"case cap_cnode_cap only has assert(!'...') (compiled out under NDEBUG) and falls to case cap_reply_cap, no comment"
sel4,1326364,src/machine/io.c,500,MSC17-C,TP,case 'p' mutates p/t/fl then falls into case 'x'/'X' with no break/comment
sel4,1326364,src/machine/io.c,519,MSC17-C,TP,case 'i' (grouped with 'd') computes pl then falls into case 'u' with no break/comment
sel4,1326364,src/plat/bcm2837/machine/intc.c,100,MSC17-C,FP,"case INTERRUPT_CORE_GPU is an empty case (only a // comment before the next label) grouped with PMU/AXI, which CERT explicitly allows"
sel4,1326364,src/plat/bcm2837/machine/intc.c,102,MSC17-C,FP,"case INTERRUPT_CORE_PMU is likewise an empty grouped case label (comment-only) before AXI's return, no executable code between labels"
sqlite,b1a73ba34d,ext/fts3/fts3_aux.c,322,MSC17-C,FP,"case 1 has explicit ""/* fall through */"" comment on the line before case 2 (line 328)"
sqlite,b1a73ba34d,ext/misc/base64.c,175,MSC17-C,FP,"case ND falls to WS via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,ext/misc/base64.c,179,MSC17-C,FP,"case WS falls to PC via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,ext/misc/base64.c,183,MSC17-C,FP,"case PC falls to default via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,ext/misc/base64.c,193,MSC17-C,FP,"case 3 falls to case 2 via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,ext/misc/base64.c,196,MSC17-C,FP,"case 2 falls to case 1 via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,ext/misc/base85.c,233,MSC17-C,FP,"case 4 falls to case 3, explicit ""/* FALLTHRU */"" comment present"
sqlite,b1a73ba34d,ext/misc/base85.c,236,MSC17-C,FP,"case 3 falls to case 2, explicit ""/* FALLTHRU */"" comment present"
sqlite,b1a73ba34d,ext/misc/base85.c,239,MSC17-C,FP,"case 2 falls to case 1, explicit ""/* FALLTHRU */"" comment present"
sqlite,b1a73ba34d,ext/misc/base85.c,242,MSC17-C,FP,"case 1 falls to case 0 (which is just break), explicit ""/* FALLTHRU */"" comment present"
sqlite,b1a73ba34d,ext/qrf/qrf.c,868,MSC17-C,FP,"case QRF_TEXT_Relaxed falls to QRF_TEXT_Sql via deliberate_fall_through macro plus explicit ""/* FALLTHRU */"" comment"
sqlite,b1a73ba34d,src/date.c,1438,MSC17-C,FP,"case 'd' is an empty grouped case label falling to case 'e' (CERT allows empty grouped cases), also has ""/* Fall thru */"" comment"
sqlite,b1a73ba34d,src/date.c,1453,MSC17-C,FP,"case 'G' is an empty grouped case label falling to case 'g', also has ""/* Fall thru */"" comment"
sqlite,b1a73ba34d,src/date.c,1473,MSC17-C,FP,"case 'I' is an empty grouped case label falling to case 'l', also has ""/* Fall thru */"" comment"
sqlite,b1a73ba34d,src/date.c,1497,MSC17-C,FP,"case 'p' is an empty grouped case label falling to case 'P', also has ""/* Fall thru */"" comment"
sqlite,b1a73ba34d,src/expr.c,5162,MSC17-C,FP,"case TK_ISNOT sets op/p5 then falls to TK_LT with explicit ""/* fall-through */"" comment at line 5165"
sqlite,b1a73ba34d,src/insert.c,2362,MSC17-C,FP,"case OE_Update falls to OE_Ignore, marked with ""/* no break */"" comment plus deliberate_fall_through macro annotation"
sqlite,b1a73ba34d,src/insert.c,2588,MSC17-C,FP,"case OE_Update falls to OE_Ignore, marked with ""/* no break */"" comment plus deliberate_fall_through macro annotation"
sqlite,b1a73ba34d,src/os_unix.c,4271,MSC17-C,FP,case body is #if/#else with a return in both branches (return statement inside #if !defined(SQLITE_WASI).../#else region) so control never falls through; sqc missed the return nested in the preprocessor branches
sqlite,b1a73ba34d,src/pragma.c,1658,MSC17-C,FP,case PragTyp_CASE_SENSITIVE_LIKE has an unconditional break; right after its closing brace (line 1663); sqc appears to mis-pair the label due to the adjacent #ifndef/#endif preprocessor guards
sqlite,b1a73ba34d,src/tclsqlite.c,1136,MSC17-C,FP,"case SQLITE_INTEGER falls to SQLITE_FLOAT only when conversion fails, marked with explicit ""/* fall-through */"" comment at line 1142"
sqlite,b1a73ba34d,src/tclsqlite.c,1144,MSC17-C,FP,"case SQLITE_FLOAT falls to default only when conversion fails, marked with explicit ""/* fall-through */"" comment at line 1150"
sqlite,b1a73ba34d,src/tclsqlite.c,3202,MSC17-C,FP,"case body is #ifndef SQLITE_OMIT_LOAD_EXTENSION with break / #else with return TCL_ERROR, both branches terminate; sqc missed control-flow inside the preprocessor branches"
sqlite,b1a73ba34d,src/vdbe.c,6348,MSC17-C,FP,"case OP_SorterSort/OP_Sort falls into OP_Rewind with explicit ""/* Fall through into OP_Rewind */"" comment plus deliberate_fall_through macro"
sqlite,b1a73ba34d,src/vdbe.c,7952,MSC17-C,FP,"case OP_Checkpoint has an unconditional break at line 7975 before the next case; sqc missed it, likely confused by the long body with a nested #ifndef SQLITE_TEST-style block"
sqlite,b1a73ba34d,src/vdbe.c,7991,MSC17-C,FP,case OP_JournalMode has an unconditional break at line 8081 (outside the internal #ifndef SQLITE_OMIT_WAL block) before the next case; sqc missed it due to the large nested-#ifdef case body
sqlite,b1a73ba34d,src/vdbeaux.c,920,MSC17-C,FP,"case OP_VFilter falls into default case with explicit ""/* Fall through into the default case */"" comment plus deliberate_fall_through macro"
sqlite,b1a73ba34d,src/vdbevtab.c,295,MSC17-C,FP,"case 9 is an empty grouped case label falling to case 10 (CERT allows empty grouped cases), both share the same break at line 298"
