rule,file,line,verdict,confidence,reason
API02-C,lib/http1.h,50,FP,high,"Parser API; advisory size-param noise, callee bounds internally."
API05-C,lib/http1.h,51,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/http1.h,52,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/http1.h,53,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
DCL13-C,lib/http1.h,54,FP,high,pnread is out-param written by callee; cannot be const.
ARR02-C,lib/select.h,83,FP,high,ufds[] is array param decaying to pointer; nfds gives count. Valid prototype.
PRE00-C,lib/select.h,105,FP,high,VERIFY_SOCK control-flow macro (do/while with return); needs multiple eval intentionally.
PRE12-C,lib/select.h,105,FP,high,"x evaluated twice on side-effect-free socket arg; control macro, not inlinable."
PRE02-C,lib/select.h,171,FP,high,"Replacement is single function call expression; parens unnecessary, advisory."
DCL13-C,lib/select.h,192,FP,high,pwant_read is out-param written by Curl_pollset_check; cannot be const.
API02-C,lib/setup-os400.h,61,FP,high,OS400 getnameinfo shim; signature fixed by platform API. Advisory noise.
API02-C,lib/setup-os400.h,61,FP,high,OS400 getnameinfo shim; signature fixed by platform API. Advisory noise.
API02-C,lib/setup-os400.h,125,FP,high,recvfrom shim; buflen already present. Signature fixed by socket API.
API02-C,lib/setup-os400.h,127,FP,high,getpeername shim; addrlen is in/out len. Signature fixed by socket API.
API02-C,lib/setup-os400.h,128,FP,high,getsockname shim; addrlen is in/out len. Signature fixed by socket API.
PRE00-C,lib/vquic/vquic_int.h,80,FP,high,H3_STREAM_CTX accessor macro; idiomatic single-arg lookup.
PRE01-C,lib/vquic/vquic_int.h,80,FP,high,data used as member-access base in macro; parenthesization not needed there.
PRE12-C,lib/vquic/vquic_int.h,80,FP,high,Accessor macro evaluates data twice on side-effect-free arg; idiomatic.
API05-C,lib/vquic/vquic_int.h,95,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vquic/vquic_int.h,121,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,src/tool_writeout_json.h,30,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,src/tool_writeout_json.h,32,FP,high,mappings[] is NUL-sentinel-terminated table; no count param needed.
ARR02-C,src/tool_writeout_json.h,32,FP,high,mappings[] array param decays to pointer; sentinel-terminated. Valid prototype.
API02-C,src/tool_writeout_json.h,35,FP,high,FILE* and per_transfer struct ptrs; not array buffers. Advisory noise.
API02-C,src/tool_writeout_json.h,36,FP,high,in is NUL-terminated C string; no count param needed.
DCL15-C,lib/easyoptions.c,32,FP,high,Curl_easyopts is intentionally exported (used across translation units/tests).
DCL19-C,lib/easyoptions.c,32,FP,high,Generated global option table; must be file-scope and exported.
ARR02-C,lib/easyoptions.c,32,FP,high,Sentinel-terminated initializer table; implicit bounds idiomatic and valid.
INT10-C,lib/easyoptions.c,388,FP,high,CURLOPT_LASTENTRY is positive enum constant; modulo never sees negative operand.
DCL38-C,lib/hostip.h,68,TP,low,hostname[1] struct-hack; CERT DCL38 prefers []. Intentional portability idiom though.
STR31-C,lib/hostip.h,68,FP,high,hostname[1] is flexible struct-hack member allocated larger; not undersized buffer.
API05-C,lib/hostip.h,144,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/hostip.h,162,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,lib/http_proxy.h,38,FP,high,"pport is int out-param, not array; advisory noise."
API02-C,lib/http_proxy.h,50,FP,high,"pres1 is int out-param, not array; advisory noise."
PRE00-C,lib/http_proxy.h,61,FP,high,"IS_HTTPS_PROXY predicate macro; idiomatic comparison, side-effect-free arg."
PRE12-C,lib/http_proxy.h,61,FP,high,t evaluated twice on enum value; idiomatic predicate macro.
API00-C,lib/psl.c,42,FP,med,Internal API; easy always valid handle. Sibling fns also deref unchecked.
EXP33-C,lib/psl.c,70,FP,high,psl assigned via psl_latest() at line 69 before use; #ifdef branch sqc can't connect.
DCL30-C,lib/psl.c,94,FP,high,"psl is const pointer aliasing pslcache->psl (heap/static), not local auto address."
API00-C,lib/psl.c,97,FP,high,Thin wrapper to Curl_share_unlock; does not itself deref easy in unsafe way.
API05-C,lib/rand.h,30,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/rand.h,43,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/rand.h,49,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/rand.h,55,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/urlapi-int.h,28,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/urlapi-int.h,28,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,lib/urlapi-int.h,33,FP,high,urllen already bounds url; advisory size-param noise.
API05-C,lib/urlapi-int.h,33,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vquic/vquic.h,34,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,lib/vquic/vquic.h,37,FP,high,"qlogfdp is int* out-param, not array; advisory noise."
API05-C,lib/vquic/vquic.h,38,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vquic/vquic.h,40,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/gtls.h,76,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/gtls.h,113,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/gtls.h,116,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/gtls.h,117,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/openssl.h,92,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/openssl.h,140,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/openssl.h,143,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/openssl.h,144,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/wolfssl.h,52,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/wolfssl.h,81,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/wolfssl.h,84,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/vtls/wolfssl.h,85,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,src/tool_doswin.h,33,FP,high,sanitized is char** out-param allocated by callee; not input array.
API02-C,src/tool_doswin.h,37,FP,high,DJGPP crt0 glob hook; signature fixed by toolchain. Advisory noise.
DCL37-C,src/tool_doswin.h,37,FP,high,__crt0_glob_function name mandated by DJGPP runtime; platform shim.
DCL37-C,src/tool_doswin.h,37,FP,high,__crt0_glob_function reserved name mandated by DJGPP runtime; cannot rename.
ARR02-C,src/tool_helpers.c,80,FP,high,reqname[] initializer table; implicit bounds idiomatic and valid C.
ARR30-C,src/tool_helpers.c,96,FP,med,"req is HttpReq enum bounded to table size; internal callers only, not attacker index."
ARR02-C,src/tool_helpers.c,104,FP,high,dflt[] initializer table; implicit bounds idiomatic and valid C.
EXP15-C,src/tool_helpers.c,113,FP,med,Intentional empty 'if(!method);' guarding else-if chain; deliberate no-op.
ERR33-C,src/toolx/tool_time.c,53,FP,high,localtime return checked at line 54 ('if(tm)'); only in no-localtime_r fallback.
CON33-C,src/toolx/tool_time.c,53,TP,low,localtime() async/thread-unsafe; CERT CON33 fires though it's a guarded last-resort fallback.
CON34-C,src/toolx/tool_time.c,53,FP,high,Duplicate of CON33-C at same localtime site; count once.
MEM33-C,src/toolx/tool_time.c,55,FP,high,struct tm has no flexible array member; '*store=*tm' is valid struct assignment.
API00-C,lib/bufref.c,72,FP,high,"dtor function pointer stored, called later only if non-NULL; no deref here."
API05-C,lib/bufref.c,72,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/bufref.c,120,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API02-C,lib/cf-socket.h,60,FP,high,dev is char** out-param allocated by callee; not sized input array.
API02-C,lib/cf-socket.h,60,FP,high,iface is char** out-param allocated by callee; not sized input array.
API02-C,lib/cf-socket.h,60,FP,high,host is char** out-param allocated by callee; not sized input array.
DCL37-C,lib/config-os400.h,140,FP,high,__cplusplus__strings__ is platform/compiler-defined macro guard; cannot rename.
DCL37-C,lib/config-os400.h,209,FP,high,_LARGE_FILES mandated by OS400 feature-test convention; platform shim.
DCL37-C,lib/config-os400.h,286,FP,high,"__ptr128 is compiler-reserved keyword/macro; platform shim, cannot rename."
DCL37-C,lib/config-win32.h,189,FP,high,_SSIZE_T_DEFINED is Windows CRT feature-guard convention; cannot rename.
DCL37-C,lib/config-win32.h,192,FP,high,_SSIZE_T_DEFINED is Windows CRT feature-guard convention; cannot rename.
DCL37-C,lib/config-win32.h,255,FP,high,_FILE_OFFSET_BITS standard glibc/CRT feature-test macro; cannot rename.
API05-C,lib/curl_hmac.h,66,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curl_hmac.h,67,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curl_hmac.h,68,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
STR31-C,lib/curl_sha512_256.h,34,FP,high,"Curl_HMAC_SHA512_256[1] is const struct array (extern decl idiom), not char buffer."
API05-C,lib/curl_sha512_256.h,38,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
API05-C,lib/curl_sha512_256.h,38,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params.
ARR01-C,lib/curl_sspi.c,107,FP,high,"identity is genuine struct pointer; sizeof(*identity) is the struct size, correct for memset."
EXP43-C,lib/curl_sspi.c,142,FP,high,"dup_domain freshly malloc'd, domain points into separate buffer; regions disjoint."
DCL13-C,lib/curl_sspi.c,198,FP,high,Function frees identity->members via safefree (nulls them); *identity is modified.
API05-C,lib/curlx/strcopy.c,38,FP,high,"Conformant-array-syntax advisory; curl never uses C99 array params, idiomatic char*/size_t."
API05-C,lib/curlx/strcopy.c,40,FP,high,const char* source param; conformant-array advisory not applicable to curl style.
ARR38-C,lib/curlx/strcopy.c,45,FP,high,memcpy guarded by if(slen<dsize) plus DEBUGASSERT; size validated.
EXP20-C,lib/easygetopt.c,34,FP,high,!Curl_easyopts_check() inside DEBUGASSERT; idiomatic boolean test.
ARR37-C,lib/easygetopt.c,47,FP,high,o points into Curl_easyopts[] array; o++ is in-bounds array iteration.
API00-C,lib/easygetopt.c,53,FP,high,"Thin wrapper to lookup() which guards if(name); internal API, no deref."
DCL38-C,lib/headers.h,36,FP,med,char buffer[1] struct-hack over-allocated at malloc; intentional C89 idiom.
STR31-C,lib/headers.h,36,FP,high,"char[1] is over-allocated trailing struct-hack buffer, not fixed-size string."
API05-C,lib/headers.h,48,FP,high,Conformant-array advisory on const char* header param; not curl convention.
DCL38-C,lib/hsts.h,39,FP,med,char host[1] struct-hack over-allocated; intentional C89 flexible-member idiom.
STR31-C,lib/hsts.h,39,FP,high,"host[1] is over-allocated struct-hack buffer, not a fixed string buffer."
API05-C,lib/hsts.h,53,FP,high,Conformant-array advisory on const char* hostname; not curl convention.
API02-C,lib/socks.h,35,FP,high,"buf already has blen size param; pnread is scalar out-param, not array."
API05-C,lib/socks.h,37,FP,high,Conformant-array advisory on char* buf; not curl convention.
DCL13-C,lib/socks.h,39,FP,high,pnread is *output* param (bytes read written through it); const wrong.
API02-C,lib/uint-table.h,69,FP,high,"pkey is scalar uint32_t out-param, not an array needing capacity."
API02-C,lib/uint-table.h,79,FP,high,"pkey scalar out-param; iterator API, no array capacity needed."
API02-C,lib/uint-table.h,93,FP,high,"pkey scalar out-param; iterator API, no array capacity needed."
API00-C,lib/vauth/cram.c,49,FP,med,"Internal auth helper; callers pass valid userp, not public NULL contract."
API00-C,lib/vauth/cram.c,49,FP,med,"Internal auth helper; passwdp always valid from caller, not public API."
EXP30-C,lib/vauth/cram.c,67,FP,high,"uptr() and len() both read chlg, neither mutates; no unsequenced side effects."
API02-C,src/tool_cb_hdr.h,52,FP,high,FILE* stream is not an array; libcurl write-callback signature fixed.
API05-C,src/tool_cb_hdr.h,58,FP,high,Conformant-array advisory on callback ptr; signature fixed by libcurl.
API05-C,src/tool_cb_hdr.h,58,FP,high,"Conformant-array advisory; not curl convention, fixed callback signature."
API00-C,src/tool_cb_soc.c,38,FP,high,"Opensocket callback; addr supplied by libcurl, signature fixed, always valid."
DCL13-C,src/tool_cb_soc.c,38,FP,high,Callback signature fixed by CURLOPT_OPENSOCKETFUNCTION typedef; const cannot be added.
DCL13-C,src/tool_cb_soc.c,40,FP,high,Callback signature fixed by libcurl typedef; addr param const not addable.
API02-C,src/tool_getparam.h,376,FP,high,"certname is char** out-param, not an array needing capacity."
API02-C,src/tool_getparam.h,376,FP,high,"passphrase is char** out-param, not an array needing capacity."
ARR02-C,src/tool_getparam.h,382,FP,high,argv_item_t argv[] is standard main-style param; explicit bound inapplicable.
DCL15-C,src/tool_listhelp.c,36,FP,high,"helptext[] is extern, referenced from other TUs; cannot be static."
DCL19-C,src/tool_listhelp.c,36,FP,high,Generated extern table consumed elsewhere; file scope required.
ARR02-C,src/tool_listhelp.c,36,FP,high,Initializer-sized helptext[] table; implicit bound idiomatic and correct.
API02-C,src/tool_urlglob.h,74,FP,high,urlnum/error scalars; no array param needs capacity argument.
API02-C,src/tool_urlglob.h,76,FP,high,"globbed is char** out-param, not array needing capacity."
API02-C,src/tool_urlglob.h,77,FP,high,"output is char** out-param, not array needing capacity."
ERR33-C,src/tool_util.c,57,FP,med,"time(NULL) fallback for wall clock; failure non-actionable, used only as timestamp."
STR34-C,src/tool_util.c,114,FP,high,"*lastdirchar = 0 is a write of literal 0, not a sign-extending char read."
STR34-C,src/tool_util.c,119,FP,high,"*pathp = filebuffer is char** pointer assignment, not signed-char read."
API05-C,lib/bufref.h,40,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/bufref.h,45,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/connect.h,34,FP,high,Conformant-array-syntax advisory; not curl convention.
API02-C,lib/connect.h,75,FP,high,port is uint16_t* scalar out-param; sa already has salen; no array.
API02-C,lib/cshutdn.h,96,FP,high,maxfd scalar out-param; fd_set args not arrays needing capacity.
DCL13-C,lib/cshutdn.h,98,FP,high,read_fd_set is populated (FD_SET) by the function; const wrong.
API02-C,lib/curl_fopen.h,28,FP,high,"fh is FILE** out-param, not array needing capacity."
API02-C,lib/curl_fopen.h,28,FP,high,"tempname is char** out-param, not array needing capacity."
API02-C,lib/curl_get_line.h,29,FP,high,"buf is dynbuf*, input FILE*, eof bool*; none are sized arrays."
DCL13-C,lib/curl_get_line.h,29,FP,high,FILE* input is consumed (read from) by getc; const FILE* not addable/wrong.
API05-C,lib/curl_md4.h,32,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curl_md4.h,32,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curl_md5.h,56,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curl_md5.h,56,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curl_sha256.h,40,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curl_sha256.h,40,FP,high,Conformant-array-syntax advisory; not curl convention.
API02-C,lib/curlx/fopen.h,50,FP,high,"fh is FILE* handle, not array; freopen-style signature fixed."
EXP37-C,lib/curlx/fopen.h,52,FP,high,Declaration matches system freopen prototype; correct headers included via setup.
API05-C,lib/curlx/inet_ntop.h,47,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curlx/inet_ntop.h,47,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curlx/strcopy.h,27,FP,high,"Conformant-array-syntax advisory; mirrors strcopy.c decl, not curl convention."
API05-C,lib/curlx/strcopy.h,29,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curlx/strdup.h,31,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/curlx/strdup.h,32,FP,high,Conformant-array-syntax advisory; not curl convention.
INT10-C,lib/curlx/timediff.c,44,FP,high,"ms%1000 guarded by if(ms>0); operand positive, no negative-modulo UB."
DCL13-C,lib/curlx/timediff.c,82,FP,med,struct timeval* read-only here but standard signature; curl style not project-wide const.
DCL00-C,lib/curlx/wait.c,60,FP,high,r is reassigned by select() result on the POSIX path; not const-able.
EXP43-C,lib/curlx/wait.c,83,FP,high,"select(0,NULL,NULL,NULL,tv); all fd_set args NULL, no restrict aliasing."
API02-C,lib/easyif.h,29,FP,high,"buffer has its own size arg; n is scalar out-param, not array."
API05-C,lib/easyif.h,29,FP,high,Conformant-array-syntax advisory on const void* buffer; not curl convention.
API05-C,lib/ftplistparser.h,31,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/ftplistparser.h,32,FP,high,Conformant-array-syntax advisory; not curl convention.
API02-C,lib/http_chunks.h,127,FP,high,"pconsumed is scalar size_t* out-param, not array needing capacity."
API05-C,lib/http_chunks.h,128,FP,high,Conformant-array-syntax advisory; not curl convention.
API02-C,lib/idn.h,32,FP,high,"output is char** out-param (decoded string), not array needing capacity."
API02-C,lib/idn.h,33,FP,high,"output is char** out-param (encoded string), not array needing capacity."
API05-C,lib/if2ip.h,52,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/if2ip.h,53,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/mime.h,153,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/mime.h,154,FP,high,Conformant-array-syntax advisory; not curl convention.
PRE00-C,lib/multi_ntfy.h,50,FP,med,"CURLM_NTFY guard macro; args are side-effect-free lvalue pointers, multiple eval harmless."
PRE12-C,lib/multi_ntfy.h,50,FP,med,"Multiple eval of d, but d is always a plain pointer var; idiomatic null-guard macro."
API02-C,lib/netrc.h,51,FP,high,"loginp is char** out-param, not array needing capacity."
API02-C,lib/netrc.h,51,FP,high,"passwordp is char** out-param, not array needing capacity."
API02-C,lib/uint-bset.h,84,FP,high,"pfirst scalar uint32_t* out-param; bitset iterator, no array capacity."
API02-C,lib/uint-bset.h,97,FP,high,"pnext scalar uint32_t* out-param; bitset iterator, no array capacity."
API02-C,lib/uint-spbset.h,75,FP,high,"pfirst scalar out-param; sparse bitset iterator, no array capacity."
API02-C,lib/uint-spbset.h,88,FP,high,"pnext scalar out-param; sparse bitset iterator, no array capacity."
API02-C,lib/vauth/digest.h,34,FP,high,value/content are char* output buffers in fixed digest-pair API; not capacity-arg style.
API02-C,lib/vauth/digest.h,34,FP,high,"content is char* output buffer; digest-pair parser API, no added size arg."
API00-C,lib/vauth/oauth2.c,86,FP,med,"Internal auth helper; user always valid from caller, not public NULL contract."
API00-C,lib/vauth/oauth2.c,86,FP,med,"Internal auth helper; bearer always valid from caller, not public NULL contract."
API00-C,lib/vauth/spnego_gssapi.c,72,FP,high,"data used only for infof logging; internal helper, callers pass valid handle."
API05-C,lib/vauth/spnego_gssapi.c,220,FP,high,Conformant-array-syntax advisory on char** outptr; not curl convention.
PRE08-C,lib/vquic/curl_ngtcp2.h,34,FP,high,"8-char header-name collision advisory; external ngtcp2 names, irrelevant on modern FS."
API05-C,lib/vquic/curl_ngtcp2.h,51,FP,high,Conformant-array-syntax advisory; not curl convention.
API02-C,lib/vssh/vssh.h,32,FP,high,"path is char** out-param, not array needing capacity."
API02-C,lib/vssh/vssh.h,36,FP,high,"path is char** out-param, not array needing capacity."
API05-C,lib/vtls/cipher_suite.h,31,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/vtls/cipher_suite.h,40,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/vtls/hostcheck.h,31,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/vtls/hostcheck.h,32,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/vtls/keylog.h,59,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,lib/vtls/keylog.h,61,FP,high,Conformant-array-syntax advisory; not curl convention.
ARR02-C,src/curlinfo.c,46,FP,high,disabled[] string-literal table sized by initializer; implicit bound idiomatic.
FIO23-C,src/curlinfo.c,270,FP,high,Standalone codegen tool main(); process exit flushes stdout; non-actionable.
API05-C,src/tool_cb_dbg.h,33,FP,high,Conformant-array-syntax advisory on debug callback; signature fixed by libcurl.
API05-C,src/tool_cb_dbg.h,34,FP,high,Conformant-array-syntax advisory on debug callback; not curl convention.
API05-C,src/tool_cb_rea.h,32,FP,high,Conformant-array-syntax advisory on read callback; signature fixed by libcurl.
API05-C,src/tool_cb_rea.h,32,FP,high,Conformant-array-syntax advisory on read callback; not curl convention.
API05-C,src/tool_cb_wrt.h,32,FP,high,Conformant-array-syntax advisory on write callback; signature fixed by libcurl.
API05-C,src/tool_cb_wrt.h,32,FP,high,Conformant-array-syntax advisory on write callback; not curl convention.
PRE00-C,src/tool_cfgable.h,36,FP,high,tool_safefree must null caller's lvalue; cannot be inline fn; args side-effect-free.
PRE12-C,src/tool_cfgable.h,36,FP,high,Standard safe-free macro nulls caller var; double-use of ptr is required idiom.
API05-C,src/tool_formparse.h,60,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,src/tool_formparse.h,61,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,src/tool_getpass.h,35,FP,high,Conformant-array-syntax advisory on password buffer; not curl convention.
API05-C,src/tool_getpass.h,35,FP,high,Conformant-array-syntax advisory; not curl convention.
DCL23-C,src/tool_libinfo.h,53,FP,high,"feature_http2 named after protocol; trailing digit is meaningful, not confusing."
DCL23-C,src/tool_libinfo.h,54,FP,high,"feature_http3 named after protocol; trailing digit is meaningful, not confusing."
PRE08-C,src/tool_operate.h,28,FP,high,8-char filename-collision advisory; irrelevant on modern filesystems.
ARR02-C,src/tool_operate.h,82,FP,high,argv[] standard main-style param in struct; explicit bound inapplicable.
API02-C,src/tool_operhlp.h,33,FP,high,"inurlp is char** in/out-param, not array needing capacity."
API02-C,src/tool_operhlp.h,34,FP,high,"filename is char** out-param, not array needing capacity."
API02-C,src/tool_parsecfg.h,30,FP,high,"resolved is char** out-param, not array needing capacity."
API02-C,src/tool_parsecfg.h,32,FP,high,"fp FILE*, db dynbuf*, error bool*; none sized arrays."
API05-C,src/tool_progress.h,41,FP,high,Conformant-array-syntax advisory; not curl convention.
API05-C,src/tool_progress.h,42,FP,high,Conformant-array-syntax advisory; not curl convention.
DCL38-C,src/var.h,32,FP,med,char name[1] struct-hack over-allocated with struct; intentional C89 idiom.
STR31-C,src/var.h,32,FP,high,"name[1] over-allocated struct-hack buffer, not a fixed-size string."
API00-C,lib/curl_endian.c,79,FP,high,"buf is documented 2-byte buffer contract; internal byte-reader, callers pass valid."
API02-C,lib/curl_gethostname.h,31,FP,high,Advisory style; signature already has namelen size arg; curl never uses C99 array-param syntax
API05-C,lib/curl_ldap.h,31,FP,high,Conformant-array-syntax advisory; curl never uses C99 array params (brief #1)
API05-C,lib/curl_memrchr.c,37,FP,high,memrchr clone with void* signature; conformant-array syntax inapplicable; advisory FP
API05-C,lib/curl_memrchr.h,35,FP,high,Declaration matching memrchr clone; advisory conformant-array syntax FP
DCL13-C,lib/curlx/basename.c,54,FP,high,POSIX basename drop-in; non-const mandated by macro fallback and contract; const breaks it
API02-C,lib/curlx/basename.h,29,FP,high,basename returns pointer into path; size arg meaningless; advisory FP
API02-C,lib/curlx/dynbuf.h,60,FP,high,dyn_take returns owned buffer with plen out-param; capacity arg inapplicable; advisory FP
MSC37-C,lib/curlx/nonblock.c,45,FP,high,"Every #if branch returns; final #else is #error, so no end-fallthrough exists"
PRE06-C,lib/curlx/snprintf.h,1,TP,low,Header genuinely lacks include guard; only defines SNPRINTF macro; minor but factually correct
API05-C,lib/curlx/strerr.h,27,FP,high,"char *buf,size_t buflen strerror signature; conformant-array advisory FP"
EXP37-C,lib/getinfo.h,26,FP,high,Legitimate internal variadic declaration (getinfo); declaring variadic in header is normal C
API05-C,lib/http_aws_sigv4.h,35,FP,high,"const char*q,size_t len signature; conformant-array advisory FP"
API05-C,lib/httpsrr.h,61,FP,high,"const uint8_t*val,size_t vlen signature; conformant-array advisory FP"
API05-C,lib/strerror.h,29,FP,high,"char *buf,size_t buflen sspi_strerror signature; conformant-array advisory FP"
API05-C,lib/vquic/curl_quiche.h,36,FP,high,"char *p,size_t len version signature; conformant-array advisory FP"
